_id,id,parc,pin,address,owner,parc_sq_ft,class,zoned_as,inventory_type,current_status,acquisition_method,acquisition_date,last_updated,latitude,longitude,census_tract,neighborhood_name,council_district,ward,fire_zone,police_zone,dpw_streets,dpw_enviro,dpw_parks
1927591,184134,,,245  E JEFFERSON ST,City of Pittsburgh,800,Vacant Land,R1A-VH,Public Sale,Sale Pending,Treasurer Sale,2015-08-14,2023-04-11,40.4587810943,-80.0114114153,42003250300,Central Northside,1,25,1-21,1,1,Northern,Riverview
1927592,174984,,,2716 CALIFORNIA AVE,City of Pittsburgh,2127,Vacant Land,R1A-H,Public Sale,Sale Pending,Treasurer Sale,1984-11-28,2023-04-14,40.4685495233,-80.0351709874,42003271500,Marshall-Shadeland,6,27,1-14,1,1,Northern,Riverview
1927593,1071618,,,2435 PERRYSVILLE AVE,City of Pittsburgh,5799,Vacant Land,R1D-H,Public Sale,Sale Pending,Treasurer Sale,2019-10-18,2023-04-03,40.4684227961,-80.0101012054,42003261400,Perry South,6,26,1-12,1,1,Northern,Riverview
1927594,178825,,,0051 ARENDELL ST,City of Pittsburgh,2130,Vacant Land,P,Public Sale,Sale Pending,Treasurer Sale,1953-06-01,2023-04-21,40.4920320531,-80.0272606761,42003260200,Perry North,1,26,1-15,1,1,Northern,Riverview
1927595,173553,,,858 CALIFORNIA AVE,City of Pittsburgh,2266,Vacant Land,RM-M,URA Transfer,Sale Pending,Treasurer Sale,1993-09-20,2023-04-26,40.4594967826,-80.0189687286,42003250700,California-Kirkbride,6,25,1-9,1,1,Northern,Riverview
1927596,959217,,,1716 BRIGHTON PL,City of Pittsburgh,4330,Vacant Land,R1A-M,URA Transfer,Sale Pending,Treasurer Sale,2017-06-16,2023-04-26,40.4587562711,-80.0171193146,42003250700,California-Kirkbride,1,25,1-21,1,1,Northern,Riverview
1927597,179342,,,708 N HOMEWOOD AVE,City of Pittsburgh,2700,Vacant Land,LNC,URA Transfer,Available for Sale,Treasurer Sale,2009-11-20,2023-04-17,40.4557269542,-79.8966193022,42003130300,Homewood South,9,13,3-17,5,2,Eastern,Frick
1927598,184609,,,7213  BENNETT ST,City of Pittsburgh,1520,Vacant Land,RM-M,URA Transfer,Available for Sale,Treasurer Sale,1985-10-07,2023-04-17,40.45653203629339,-79.89597642029013,42003130300,Homewood South,9,13,3-17,5,2,Eastern,Frick
1927599,184608,,,7215  FELICIA WA,City of Pittsburgh,1432,Vacant Land,RM-M,URA Transfer,Available for Sale,Treasurer Sale,1981-12-07,2023-04-17,40.456699770169486,-79.89587564377965,42003130300,Homewood South,9,13,3-17,5,2,Eastern,Frick
1927600,184607,,,7215  BENNETT ST,City of Pittsburgh,1933,Vacant Land,RM-M,URA Transfer,Available for Sale,Treasurer Sale,1981-12-07,2023-04-17,40.45652028549555,-79.89591029961481,42003130300,Homewood South,9,13,3-17,5,2,Eastern,Frick
1927601,180021,,,7537 SUSQUEHANNA ST,City of Pittsburgh,2000,Vacant Land,R1A-VH,URA Transfer,Sale Pending,Treasurer Sale,2011-07-29,2023-04-26,40.4516101898,-79.8923811005,42003130300,Homewood South,9,13,3-17,5,2,Eastern,Frick
1927602,185179,,,7539  SUSQUEHANNA ST,City of Pittsburgh,1900,Building,R1A-VH,URA Transfer,Sale Pending,Treasurer Sale,2013-04-26,2023-04-26,40.45158353969222,-79.89230147530108,42003130300,Homewood South,9,13,3-17,5,2,Eastern,Frick
1927603,1079873,,,0 PAXICO ST,City of Pittsburgh,1675,Vacant Land,R1D-L,Public Sale,Sale Pending,Treasurer Sale,2020-12-18,2023-04-11,40.4738896371,-79.8880018006,42003561900,Lincoln-Lemington-Belmar,9,12,3-18,5,2,Eastern,Highland
1927604,983078,,,7165 VERONA BLVD,City of Pittsburgh,2340,Vacant Land,R1D-L,Public Sale,Sale Pending,Treasurer Sale,2017-10-27,2023-04-11,40.4739087074,-79.8882094493,42003561900,Lincoln-Lemington-Belmar,9,12,3-18,5,2,Eastern,Highland
1927605,184192,,,1351  MONTEZUMA ST,City of Pittsburgh,3600,Vacant Land,RM-M,Public Sale,Sale Pending,Treasurer Sale,2015-04-24,2023-04-20,40.468772403590826,-79.89868696813093,42003120300,Lincoln-Lemington-Belmar,9,12,3-15,5,2,Eastern,Highland
1927606,178993,,,7135 VASSAR ST,City of Pittsburgh,2500,Vacant Land,RM-M,Public Sale,Sale Pending,Treasurer Sale,1983-07-18,2023-04-11,40.4671924983,-79.8956019555,42003561900,Lincoln-Lemington-Belmar,9,12,3-18,5,2,Eastern,Highland
1927607,1083331,,,12 MONACA PL,City of Pittsburgh,169,Vacant Land,RM-M,Public Sale,Sale Pending,Treasurer Sale,2021-12-17,2023-04-11,40.4459763059,-79.9846819335,42003030500,Crawford-Roberts,6,3,2-1,2,3,Central,Schenley
1927608,184565,,,MUSGRAVE ST,City of Pittsburgh,982,Vacant Land,H,Public Sale,Sale Pending,Unknown,2013-03-27,2023-04-05,40.4242784763,-79.9459312837,42003151600,Greenfield,5,15,2-12,4,3,Eastern,Schenley
1927609,977841,,,324 ORCHARD PL,City of Pittsburgh,2500,Vacant Land,R1D-H,Public Sale,Sale Pending,Treasurer Sale,2017-09-01,2023-04-19,40.4177486853,-79.9942995423,42003300100,Knoxville,3,30,4-21,3,4,Southern,McKinley
1927610,1011493,,,1525 ABSTRACT AVE,City of Pittsburgh,6000,Vacant Land,R1D-L,Public Sale,Sale Pending,Treasurer Sale,2019-08-16,2023-04-11,40.4020607612,-80.0037588417,42003191700,Brookline,4,19,4-25,6,4,Southern,McKinley
