_id,id,pin,address,owner,parc_sq_ft,class,zoned_as,inventory_type,current_status,acquisition_method,acquisition_date,last_updated,latitude,longitude,census_tract,neighborhood_name,council_district,ward,fire_zone,police_zone,dpw_streets,dpw_enviro,dpw_parks
4043491,171936,0009M00090000000,1703 CLIFF ST,City of Pittsburgh,2340,Vacant Land,RM-M,Potential Greenway,Hold for Study,Treasurer Sale,1969-06-02,2024-10-17,40.4459489977,-79.9868268505,42003030500,Crawford-Roberts,6,3,2-1,2,3,Central,Schenley
4043492,184535,0027C00082000000,4331  DAKOTA,City of Pittsburgh,1973,Vacant Land,R2-L,Public Sale,Sale Pending,Unknown,2009-07-31,2024-10-03,40.4526702086,-79.9556530496,42003050600,Upper Hill,6,5,2-22,2,3,Central,Schenley
4043493,1011448,0027E00036000000,2901 CENTRE AVE,City of Pittsburgh,1566,Vacant Land,LNC,Public Sale,Available for Sale,Treasurer Sale,2019-08-16,2024-10-15,40.4487981422,-79.9653072679,42003050100,Middle Hill,6,5,2-5,2,3,Central,Schenley
4043494,1011449,0027E00037000000,2903 CENTRE AVE,City of Pittsburgh,1471,Vacant Land,LNC,Public Sale,Available for Sale,Treasurer Sale,2019-08-16,2024-10-15,40.4488419155,-79.9652486079,42003050100,Middle Hill,6,5,2-5,2,3,Central,Schenley
4043495,1011463,0050D00115000000,5369 WARBLE ST,City of Pittsburgh,1440,Vacant Land,R1D-H,Public Sale,Sale Pending,Treasurer Sale,2019-08-16,2024-10-18,40.4703134328,-79.9344909684,42003101600,Garfield,9,10,3-4,5,2,Central,Highland
4043496,550001,0050K00069000000,306  N MILLVALE AVE,City of Pittsburgh,,Vacant Land,R1D-H,Public Sale,Sale Pending,Treasurer Sale,2016-04-29,2024-10-09,40.4672221392,-79.9446063633,42003101700,Garfield,9,10,3-4,5,2,Central,Highland
4043497,1083223,0014A00267000000,34 MILLBRIDGE ST,City of Pittsburgh,2500,Vacant Land,R1D-H,Public Sale,Sale Pending,Treasurer Sale,2021-10-15,2024-10-14,40.4231772887,-79.9960788384,42003180300,Allentown,3,18,4-5,3,4,Southern,Emerald
4043498,172535,0014C00280000001,943 MANTON WAY,City of Pittsburgh,3188,Vacant Land,,Public Sale,Sale Pending,Treasurer Sale,2010-10-22,2024-10-14,40.4215436552,-79.9901241136,,Allentown,3,18,4-6,3,4,Southern,Emerald
4043499,172541,0014C00354000000,939 MANTON WAY,City of Pittsburgh,1843,Vacant Land,R1D-H,Public Sale,Sale Pending,Treasurer Sale,2010-10-22,2024-10-14,40.4214697929,-79.9902999554,42003180300,Allentown,3,18,4-6,3,4,Southern,Emerald
4043500,172740,0015S00052000000,417 MICHIGAN ST,City of Pittsburgh,2562,Vacant Land,R2-H,Public Sale,Sale Pending,Treasurer Sale,1994-09-26,2024-10-04,40.4161098691,-79.9995789995,42003562400,Beltzhoover,3,18,4-21,3,4,Southern,McKinley
4043501,173298,0022B00251000000,1233 STRANMORE ST,City of Pittsburgh,2466,Vacant Land,R1A-M,Public Sale,Hold for Study,Treasurer Sale,1989-09-18,2024-10-14,40.4604953845,-80.0255267956,42003250700,California-Kirkbride,6,21,1-9,1,1,Northern,Riverview
4043502,184269,0023F00128000000,239  E JEFFERSON ST,City of Pittsburgh,930,Vacant Land,R1A-VH,Public Sale,Sale Pending,Treasurer Sale,2013-04-26,2024-10-03,40.4588094715,-80.0111987844,42003250300,Central Northside,1,25,1-21,1,1,Northern,Riverview
4043503,1240085,0046A00049000000,0 NORWOOD AVE,City of Pittsburgh,3000,Vacant Land,R1D-H,Public Sale,Sale Pending,Treasurer Sale,2023-06-16,2024-10-23,40.4721512001,-80.0130230739,42003261500,Perry South,6,26,1-23,1,1,Northern,Riverview
4043504,183758,0090R00255000000,1637  MARYLIN ST,City of Pittsburgh,5500,Vacant Land,R1D-L,Public Sale,Sale Pending,,,2024-10-07,40.394735897009774,-79.92069296049014,42003310300,New Homestead,5,31,4-20,4,4,Eastern,Frick
4043505,1104054,0010G00181000000,0 WEBSTER AVE,City of Pittsburgh,1537,Vacant Land,RM-M,Public Sale,Available for Sale,Treasurer Sale,2022-08-19,2022-12-21,40.4491431254,-79.9731667319,42003050100,Middle Hill,6,5,2-5,2,3,Central,Schenley
4043506,1104055,0010G00182000000,0 DUFF ST,City of Pittsburgh,808,Vacant Land,RM-M,Public Sale,Available for Sale,Treasurer Sale,2022-08-19,2022-12-21,40.4490260721,-79.9730926134,42003050100,Middle Hill,6,5,2-5,2,3,Central,Schenley
